Step,ElectorateID,Run_number,Belieftree,Affiliation
0,0,16,"[[-0.24838499999999999, 0.01174, 0.21502969014783074], [0.0087883333333332869, 0.95838, 0.7849703098521692], [-0.27324999999999999, 1, 0.85347529060836436], [-0.73042166666666664, -0.55028, 0.12075119678696911], [0.17333000000000001, 0.21178, 0.025773512604666479], [-0.27414666666666665, -0.51488, 0.077969889501271261], [-0.021406666666666685, 0.87991, 0.29192285061889006], [0.84890166666666689, 0.29341, 0.17991535808173784], [0.42547166666666653, -0.44717, 0.28263545136058643], [-0.39146666666666674, -0.9088, 0.16755645043751449]]",0
0,1,16,"[[-0.12702199999999997, 1, 0.90348287050224763], [-0.16260733333333335, -0.04221, 0.096517129497752457], [-0.39496666666666685, 0.4691, 0.29368445858371633], [-0.53092333333333319, 1, 0.52033993166018611], [0.081460000000000032, -0.46571, 0.18597560975609759], [-0.075966666666666738, 0.89925, 0.44286535161600099], [-0.15984066666666669, 0.11205, 0.12347097810173013], [0.9328413333333333, 0.75631, 0.080166401662442308], [0.64740933333333328, 0.95557, 0.13994190897498468], [-0.21565200000000001, 0.25461, 0.21355535964484185]]",1
0,2,16,"[[-0.17036899999999999, 1, 0.52928678706179721], [-0.065479999999999872, 0.97537, 0.47071321293820284], [-0.37891200000000003, 0.96198, 0.6324305968248578], [-0.76197999999999999, -0.72175, 0.018974446048051614], [0.24776200000000004, 0.98686, 0.3485949571270906], [-0.29676399999999992, -0.93364, 0.13387085484459865], [-0.205065, -0.23562, 0.0064226379542904923], [0.76828200000000024, -0.95718, 0.36269081099283207], [0.44144699999999992, -0.98553, 0.29994948912124314], [-0.18383099999999997, 0.75369, 0.19706620708703571]]",2
1,0,16,"[[-0.30109749999999996, 0.01174, 0.20839701860411755], [-0.22994361111111108, 0.95838, 0.79160298139588237], [-0.68229166666666674, 1, 0.860049604181918], [-0.81507027777777774, -0.55028, 0.13537056510850645], [0.20282166666666665, 0.21178, 0.004579830709575545], [-0.25819111111111109, -0.51488, 0.067169912810243246], [-0.46384277777777788, 0.87991, 0.35163094636685116], [0.94148361111111112, 0.29341, 0.16958680269092521], [0.57091194444444437, -0.44717, 0.26640995540565587], [-0.35391111111111112, -0.9088, 0.14520238272632449]]",0
1,1,16,"[[-0.28702426666666664, 1, 0.8539400876963642], [-0.26234564444444441, -0.04221, 0.1460599123036358], [-0.7148822222222222, 0.4691, 0.32586959650340586], [-0.79185644444444447, 1, 0.49317593252979092], [0.19175199999999998, -0.46571, 0.18095447096680317], [-0.23112888888888891, 0.89925, 0.39313130184598949], [-0.49999808888888886, 0.11205, 0.21286248738575844], [0.95637884444444443, 0.75631, 0.069581382002436215], [0.60632124444444446, 0.95557, 0.12146424467870909], [-0.32896693333333332, 0.25461, 0.20296058408710668]]",1
1,2,16,"[[-0.29751289999999997, 1, 0.51298235725918573], [-0.25646899999999995, 0.97537, 0.48701764274081433], [-0.72558120000000004, 0.96198, 0.65790705426220586], [-0.82499800000000001, -0.72175, 0.040251925404817458], [0.21262419999999999, 0.98686, 0.30184102033297661], [-0.25917639999999997, -0.93364, 0.1224524543383379], [-0.51760349999999999, -0.23562, 0.051195604414996904], [0.9408282, -0.95718, 0.34459348502171344], [0.58414469999999996, -0.98553, 0.28498279155138134], [-0.33014310000000002, 0.75369, 0.19677566467357055]]",2
2,0,16,"[[-0.34690791666666665, 0.01174, 0.21555927243829115], [-0.34677393518518518, 0.95838, 0.78444072756170891], [-0.8663819444444445, 1, 0.83944017540146276], [-0.86505337962962958, -0.55028, 0.14157521283065155], [0.16957027777777778, 0.21178, 0.018984611767885618], [-0.29719851851851853, -0.51488, 0.050256250313305273], [-0.71786546296296294, 0.87991, 0.36887935098859104], [0.95691393518518519, 0.29341, 0.15318353965432049], [0.8951519907407407, -0.44717, 0.30990265919087767], [-0.39865185185185187, -0.9088, 0.11777819985290554]]",0
2,1,16,"[[-0.34686390222222219, 1, 0.81115791805209225], [-0.35576741925925925, -0.04221, 0.1888420819479078], [-0.87809096296296296, 0.4691, 0.35050030885984818], [-0.8639575259259259, 1, 0.48494809310611187], [0.16676426666666666, -0.46571, 0.16455159803403993], [-0.29515051851851853, 0.89925, 0.40667953293843906], [-0.73284707851851849, 0.11205, 0.28767766251403837], [0.95951717925925928, 0.75631, 0.069189689278933389], [0.91284283259259258, 0.95557, 0.014548105275925122], [-0.39711559111111111, 0.25461, 0.22190500999266388]]",1
2,2,16,"[[-0.35021428999999998, 1, 0.50299352672957809], [-0.35877290000000001, 0.97537, 0.49700647327042197], [-0.88543812, 0.96198, 0.65635044805231135], [-0.87004479999999995, -0.72175, 0.052686155543298384], [0.16789042000000001, 0.98686, 0.29096339640439017], [-0.30041763999999999, -0.93364, 0.10350292884229911], [-0.74356334999999996, -0.23562, 0.083025533733472434], [0.95808282, -0.95718, 0.31305797756851345], [0.92241446999999988, -0.98553, 0.31186176166215623], [-0.39985431000000005, 0.75369, 0.18855179819355877]]",2
3,0,16,"[[-0.36126798611111111, 0.01174, 0.21695862216667461], [-0.38787065586419756, 0.95838, 0.78304137783332539], [-0.95264699074074077, 1, 0.83554972614086642], [-0.89917556327160497, -0.55028, 0.14929456974338423], [0.17636171296296296, 0.21178, 0.015155704115749281], [-0.39036641975308639, -0.51488, 0.028117660250107882], [-0.87491924382716046, 0.87991, 0.39627558999620749], [0.95948565586419754, 0.29341, 0.15041322364450699], [0.97919199845679006, -0.44717, 0.32210110725867636], [-0.45227530864197535, -0.9088, 0.10309241885050112]]",0
3,1,16,"[[-0.36183652029629632, 1, 0.79623722768646166], [-0.39071365590123458, -0.04221, 0.20376277231353837], [-0.95765879506172835, 0.4691, 0.35946455235988944], [-0.90039433679012348, 1, 0.47879459509620581], [0.17625923555555556, -0.46571, 0.16174085254390472], [-0.39382006913580248, 0.89925, 0.40031735690085368], [-0.88319894380246911, 0.11205, 0.30811588339342172], [0.95993562390123455, 0.75631, 0.063039794596675122], [0.9849123776790123, 0.95557, 0.0090840112674630043], [-0.4542154121481482, 0.25461, 0.21944295384158649]]",1
3,2,16,"[[-0.36274742900000001, 1, 0.49908791333221886], [-0.39235829, 0.97537, 0.50091208666778109], [-0.96145381200000002, 0.96198, 0.66001866268274123], [-0.90240448000000006, -0.72175, 0.061990866310738475], [0.17673704199999998, 0.98686, 0.27799047100652019], [-0.39814176400000001, -0.93364, 0.085115007182893429], [-0.89005333499999995, -0.23562, 0.10401919981161226], [0.95980828200000001, -0.95718, 0.30469656186122812], [0.98864144700000001, -0.98553, 0.31378556565715393], [-0.45668543100000003, 0.75369, 0.19238366548711233]]",2
4,0,16,"[[-0.3542279976851852, 0.01174, 0.21423230400265664], [-0.38392844264403292, 0.95838, 0.78576769599734342], [-0.92781616512345677, 1, 0.83897670218489151], [-0.86836259387860082, -0.55028, 0.13842807756391795], [0.15986028549382716, 0.21178, 0.022595220251190512], [-0.17006106995884773, -0.51488, 0.074967685096512429], [-0.66221154063786014, 0.87991, 0.33527533429005874], [0.95991427597736623, 0.29341, 0.14490585731759856], [0.99619866640946508, -0.44717, 0.31380529963550458], [-0.30604588477366257, -0.9088, 0.13104582366032574]]",0
