,Agenda_issue,Belieftruth_tree,Burnt,Camp_site,Chosen_instrument,Empty,Firefighters,Prevention,Run_number,Thick_forest,Thin_forest
0,3,"[-0.30129, -0.20362, -0.59435, -0.7897, 0.18712, -0.268, -0.30567, 0.96, 0.6, -0.2904]",1129,732,,3548,0.1,0.002,17,2010,2083
1,3,"[-0.31323, -0.29828, -0.8152, -0.8451, 0.21864, -0.26, -0.646, 0.96, 0.6, -0.3512]",3280,740,15.0,3244,0.1,0.002,17,878,1062
2,3,"[-0.35655, -0.3775, -0.92605, -0.88415, 0.17104, -0.33, -0.814, 0.96, 0.96, -0.4134]",4953,670,15.0,2933,0.009999999999999995,0.002,17,307,558
3,3,"[-0.36588, -0.40186, -0.97415, -0.9022, 0.17044, -0.375, -0.90867, 0.96, 0.996, -0.4706]",6038,625,15.0,2647,0.0009999999999999992,0.002,17,81,274
4,3,"[-0.34911, -0.37518, -0.91765, -0.8655, 0.16728, -0.138, -0.555, 0.96, 0.9996, -0.2412]",3647,862,15.0,3794,9.999999999999994e-05,0.002,17,104,1335
5,2,"[-0.34858, -0.39163, -0.90355, -0.81745, 0.12029, 0.188, -0.444, 0.96, 0.99996, -0.1532]",2565,1188,12.0,4234,9.999999999999986e-06,0.002,17,87,1668
6,2,"[-0.3504, -0.40545, -0.9115, -0.8014, 0.1006, 0.303, -0.473, 0.944, 1.0, -0.1254]",2296,1303,12.0,4373,9.99999999999999e-07,0.0028,17,63,1581
7,2,"[-0.34962, -0.40528, -0.93515, -0.82385, 0.1246, 0.163, -0.60167, 0.9296, 1.0, -0.1368]",2791,1163,12.0,4316,9.999999999999989e-08,0.00352,17,34,1195
8,2,"[-0.3505, -0.4041, -0.9561, -0.8489, 0.14789, 0.001, -0.72633, 0.91664, 1.0, -0.1724]",3595,1001,12.0,4138,9.999999999999984e-09,0.004168,17,19,821
9,2,"[-0.34933, -0.402, -0.94165, -0.8363, 0.13764, 0.059, -0.708, 0.90498, 1.0, -0.1384]",3289,1059,12.0,4308,9.999999999999974e-10,0.0047512,17,97,876
10,2,"[-0.35272, -0.41326, -0.93935, -0.81825, 0.11282, 0.185, -0.67567, 0.89448, 1.0, -0.1294]",3048,1185,12.0,4353,9.999999999999976e-11,0.00527608,17,80,973
11,2,"[-0.35337, -0.4179, -0.93445, -0.8054, 0.09865, 0.273, -0.636, 0.88503, 1.0, -0.1042]",2711,1273,12.0,4479,9.999999999999978e-12,0.005748472,17,73,1092
12,2,"[-0.35275, -0.4158, -0.9374, -0.8113, 0.10579, 0.236, -0.64867, 0.87653, 1.0, -0.0984]",2741,1236,12.0,4508,9.999999999999982e-13,0.0061736248,17,66,1054
13,2,"[-0.353, -0.4132, -0.94805, -0.82765, 0.12165, 0.13, -0.71067, 0.86887, 1.0, -0.1192]",3118,1130,12.0,4404,9.999999999999978e-14,0.006556262320000001,17,57,868
14,2,"[-0.35369, -0.41319, -0.94495, -0.82595, 0.11856, 0.132, -0.718, 0.86199, 1.0, -0.1202]",3153,1132,12.0,4399,9.99999999999997e-15,0.0069006360880000004,17,85,846
15,2,"[-0.35377, -0.41397, -0.9489, -0.8285, 0.12096, 0.121, -0.72633, 0.85579, 1.0, -0.1166]",3186,1121,12.0,4417,9.999999999999973e-16,0.0072105724792,17,67,821
16,2,"[-0.35457, -0.41852, -0.94615, -0.81825, 0.10912, 0.189, -0.709, 0.85021, 1.0, -0.102]",3021,1189,12.0,4490,9.999999999999965e-17,0.00748951523128,17,68,873
17,2,"[-0.35606, -0.42287, -0.94345, -0.80985, 0.09772, 0.247, -0.685, 0.84519, 1.0, -0.0972]",2862,1247,12.0,4514,9.999999999999965e-18,0.0077405637081519995,17,62,945
18,2,"[-0.35579, -0.41946, -0.94725, -0.8199, 0.10833, 0.185, -0.69533, 0.84067, 1.0, -0.1046]",3018,1185,12.0,4477,9.999999999999962e-19,0.0079665073373368,17,47,914
19,2,"[-0.35615, -0.42113, -0.9457, -0.81575, 0.10344, 0.21, -0.693, 0.8366, 1.0, -0.0984]",2972,1210,12.0,4508,9.999999999999966e-20,0.00816985660360312,17,55,921
20,2,"[-0.35697, -0.42202, -0.94915, -0.81905, 0.10511, 0.19, -0.71, 0.83294, 1.0, -0.1076]",3082,1190,12.0,4462,9.999999999999959e-21,0.008352870943242809,17,49,870
21,2,"[-0.35803, -0.42225, -0.94615, -0.8177, 0.10165, 0.198, -0.693, 0.82965, 1.0, -0.113]",3058,1198,12.0,4435,9.999999999999956e-22,0.008517583848918528,17,52,921
22,2,"[-0.35608, -0.41786, -0.9415, -0.81795, 0.10578, 0.192, -0.675, 0.82668, 1.0, -0.0928]",2890,1192,12.0,4536,9.999999999999956e-23,0.008665825464026675,17,65,975
23,2,"[-0.358, -0.42357, -0.9443, -0.81315, 0.09716, 0.226, -0.68767, 0.82402, 1.0, -0.1004]",2919,1226,12.0,4498,9.999999999999951e-24,0.008799242917624007,17,59,937
24,2,"[-0.35697, -0.41822, -0.9448, -0.8223, 0.10836, 0.165, -0.691, 0.82161, 1.0, -0.103]",2970,1165,12.0,4485,9.999999999999942e-25,0.008919318625861606,17,59,927
25,2,"[-0.35628, -0.41655, -0.94795, -0.8274, 0.11485, 0.132, -0.709, 0.81945, 1.0, -0.102]",3073,1132,12.0,4490,9.999999999999935e-26,0.009027386763275446,17,56,873
26,2,"[-0.35529, -0.41226, -0.94675, -0.8328, 0.12222, 0.096, -0.701, 0.81751, 1.0, -0.0992]",3065,1096,12.0,4504,9.999999999999937e-27,0.009124648086947901,17,56,897
27,2,"[-0.3572, -0.41775, -0.9453, -0.8242, 0.10979, 0.155, -0.68633, 0.81576, 1.0, -0.1016]",3001,1155,12.0,4492,9.999999999999929e-28,0.00921218327825311,17,51,941
28,2,"[-0.35954, -0.42604, -0.9446, -0.8116, 0.09252, 0.239, -0.68167, 0.81418, 1.0, -0.1024]",2898,1239,12.0,4488,9.999999999999918e-29,0.0092909649504278,17,51,955
29,2,"[-0.36069, -0.42756, -0.9408, -0.80705, 0.08567, 0.266, -0.66633, 0.81276, 1.0, -0.1062]",2836,1266,12.0,4469,9.999999999999911e-30,0.00936186845538502,17,61,1001
30,2,"[-0.35975, -0.42572, -0.94775, -0.8158, 0.0963, 0.211, -0.70267, 0.81149, 1.0, -0.1088]",2972,1211,12.0,4456,9.999999999999903e-31,0.009425681609846519,17,51,892
31,2,"[-0.35747, -0.41805, -0.95145, -0.8303, 0.11535, 0.118, -0.71633, 0.81034, 1.0, -0.1076]",3105,1118,12.0,4462,9.999999999999896e-32,0.009483113448861867,17,40,851
32,2,"[-0.35797, -0.41862, -0.9497, -0.8284, 0.11246, 0.128, -0.71267, 0.8093, 1.0, -0.1094]",3164,1128,12.0,4453,9.999999999999898e-33,0.00953480210397568,17,48,862
